time,edge,watch_addr,prev,now,slot,fighter_base,cur_hp,max_hp,red_life,hp_mod10,diff_total,top_offsets
14:40:15.427,rising,0x9246CBAB,0,2,P1C1,0x9246B9C0,43200,48000,48000,True,15,+0x0
14:40:24.206,rising,0x9246CBAB,0,1,P1C1,0x9246B9C0,43200,48000,48000,True,14,+0x0
14:40:33.347,rising,0x9246CBAB,0,1,P1C1,0x9246B9C0,43200,48000,48000,True,11,+0x0
14:40:37.629,rising,0x9246CBAB,0,1,P1C1,0x9246B9C0,43200,48000,48000,True,12,+0x0
14:40:42.439,rising,0x9246CBAB,0,1,P1C1,0x9246B9C0,43200,48000,48000,True,12,+0x0
14:40:47.002,rising,0x9246CBAB,0,1,P1C1,0x9246B9C0,38400,48000,48000,True,13,+0x0
14:40:52.819,rising,0x9246CBAB,0,1,P1C1,0x9246B9C0,43200,48000,48000,True,11,+0x0
14:40:56.429,rising,0x9246CBAB,0,1,P1C1,0x9246B9C0,43200,48000,48000,True,11,+0x0
14:41:01.269,rising,0x9246CBAB,0,1,P1C1,0x9246B9C0,19200,48000,48000,True,11,+0x0
